,Overall Person Count,Person Count in Frame,Adult Count,Child Count
frame0,23,23,18,5
frame1,23,21,16,5
frame2,23,19,15,4
frame3,23,19,14,5
frame4,23,18,13,5
frame5,23,18,14,4
frame6,23,17,14,3
frame7,23,15,13,2
frame8,23,15,14,1
frame9,23,18,14,4
frame10,23,20,17,3
frame11,23,19,17,2
frame12,23,20,16,4
frame13,23,17,15,2
frame14,23,17,15,2
frame15,23,17,14,3
frame16,23,18,16,2
frame17,23,19,16,3
frame18,23,20,17,3
frame19,23,19,16,3
frame20,23,19,16,3
frame21,23,19,17,2
frame22,23,19,17,2
frame23,23,20,16,4
frame24,23,21,19,2
frame25,23,21,19,2
frame26,23,21,20,1
frame27,23,21,18,3
frame28,23,22,19,3
frame29,23,21,18,3
frame30,23,19,16,3
frame31,23,19,16,3
frame32,23,20,17,3
frame33,23,19,16,3
frame34,23,17,14,3
frame35,23,14,12,2
frame36,23,18,14,4
frame37,23,18,17,1
frame38,23,17,15,2
frame39,23,16,14,2
frame40,23,19,17,2
frame41,23,18,16,2
frame42,23,17,15,2
frame43,23,18,16,2
frame44,23,14,14,0
frame45,23,14,12,2
frame46,23,16,13,3
frame47,23,15,12,3
frame48,23,15,12,3
frame49,23,15,13,2
frame50,23,18,14,4
frame51,23,15,12,3
frame52,23,14,12,2
frame53,23,15,12,3
frame54,23,14,13,1
frame55,23,16,15,1
frame56,23,17,15,2
frame57,23,19,16,3
frame58,23,17,15,2
frame59,23,18,14,4
frame60,23,18,14,4
frame61,23,18,14,4
frame62,23,19,16,3
frame63,23,17,15,2
frame64,23,15,13,2
frame65,23,16,14,2
frame66,23,15,11,4
frame67,23,15,12,3
frame68,23,17,14,3
frame69,23,17,13,4
frame70,23,17,13,4
frame71,23,19,16,3
frame72,23,17,14,3
frame73,23,18,15,3
frame74,23,17,14,3
frame75,23,18,17,1
frame76,23,17,14,3
frame77,23,16,13,3
frame78,23,16,13,3
frame79,23,15,12,3
frame80,23,16,12,4
frame81,23,16,13,3
frame82,23,15,12,3
frame83,23,15,12,3
frame84,23,16,13,3
frame85,23,17,14,3
frame86,23,17,13,4
frame87,23,18,15,3
frame88,23,16,13,3
frame89,23,18,14,4
frame90,23,17,14,3
frame91,23,17,15,2
frame92,23,17,15,2
frame93,23,16,14,2
frame94,23,15,13,2
frame95,23,15,13,2
frame96,23,15,11,4
frame97,23,16,12,4
frame98,23,15,12,3
frame99,23,18,13,5
frame100,23,21,14,7
frame101,23,18,12,6
frame102,23,19,14,5
frame103,23,20,14,6
frame104,23,19,14,5
frame105,23,18,14,4
frame106,23,17,14,3
frame107,23,17,13,4
frame108,23,18,15,3
frame109,23,18,15,3
frame110,23,17,15,2
frame111,23,18,16,2
frame112,23,17,16,1
frame113,23,18,17,1
frame114,23,20,18,2
frame115,23,20,18,2
frame116,23,21,18,3
frame117,23,19,17,2
frame118,23,20,19,1
frame119,23,20,19,1
frame120,23,21,21,0
frame121,23,20,20,0
frame122,23,22,20,2
frame123,23,22,19,3
frame124,23,21,19,2
frame125,23,21,20,1
frame126,23,21,20,1
frame127,23,22,19,3
frame128,23,21,17,4
frame129,23,18,17,1
frame130,23,17,16,1
frame131,23,20,18,2
frame132,23,21,19,2
frame133,23,21,18,3
frame134,23,22,19,3
frame135,34,26,22,4
frame136,34,26,22,4
frame137,34,24,20,4
frame138,34,23,18,5
frame139,34,21,17,4
frame140,34,23,18,5
frame141,34,20,17,3
frame142,34,22,18,4
frame143,34,22,18,4
frame144,34,23,18,5
frame145,34,27,22,5
frame146,34,26,21,5
frame147,34,23,20,3
frame148,34,23,18,5
frame149,34,22,18,4
frame150,34,24,21,3
frame151,34,20,17,3
frame152,34,20,17,3
frame153,34,24,20,4
frame154,34,20,18,2
frame155,34,20,18,2
frame156,34,24,20,4
frame157,34,20,17,3
frame158,34,21,19,2
frame159,34,21,17,4
frame160,34,20,17,3
frame161,34,19,15,4
frame162,34,21,16,5
frame163,34,17,15,2
frame164,34,20,17,3
